State,Year,Crime_Type,Cases,Female_Population,Crime_Rate,Literacy_Rate,Urban_Percent,Unemployment_Rate,Avg_Income,Police_Stations,Conviction_Rate,Reporting_Rate,Population_Density,Latitude,Longitude
West Bengal,2018,Stalking,7658,82809459,9.25,73.12,70.26,9.08,254728,2720,30.45,74.37,362,33.39,79.53
West Bengal,2019,Rape,2148,84465648,2.54,66.87,40.95,9.53,116690,603,64.35,85.09,727,33.39,79.53
West Bengal,2019,Domestic Violence,6039,84465648,7.15,66.87,40.95,9.53,116690,603,64.35,85.09,727,33.39,79.53
West Bengal,2019,Kidnapping,4699,84465648,5.56,66.87,40.95,9.53,116690,603,64.35,85.09,727,33.39,79.53
West Bengal,2019,Harassment,8945,84465648,10.59,66.87,40.95,9.53,116690,603,64.35,85.09,727,33.39,79.53
West Bengal,2019,Dowry Deaths,3057,84465648,3.62,66.87,40.95,9.53,116690,603,64.35,85.09,727,33.39,79.53
West Bengal,2019,Acid Attack,6092,84465648,7.21,66.87,40.95,9.53,116690,603,64.35,85.09,727,33.39,79.53
West Bengal,2019,Cyber Crime,598,84465648,0.71,66.87,40.95,9.53,116690,603,64.35,85.09,727,33.39,79.53
West Bengal,2019,Stalking,2700,84465648,3.2,66.87,40.95,9.53,116690,603,64.35,85.09,727,33.39,79.53
West Bengal,2020,Rape,4993,86121837,5.8,55.18,29.65,7.94,52869,1156,31.21,82.05,900,33.39,79.53
West Bengal,2020,Domestic Violence,9992,86121837,11.6,55.18,29.65,7.94,52869,1156,31.21,82.05,900,33.39,79.53
West Bengal,2020,Kidnapping,5411,86121837,6.28,55.18,29.65,7.94,52869,1156,31.21,82.05,900,33.39,79.53
West Bengal,2020,Harassment,4487,86121837,5.21,55.18,29.65,7.94,52869,1156,31.21,82.05,900,33.39,79.53
West Bengal,2020,Dowry Deaths,6515,86121837,7.56,55.18,29.65,7.94,52869,1156,31.21,82.05,900,33.39,79.53
West Bengal,2020,Acid Attack,1718,86121837,1.99,55.18,29.65,7.94,52869,1156,31.21,82.05,900,33.39,79.53
West Bengal,2020,Cyber Crime,4996,86121837,5.8,55.18,29.65,7.94,52869,1156,31.21,82.05,900,33.39,79.53
West Bengal,2020,Stalking,5235,86121837,6.08,55.18,29.65,7.94,52869,1156,31.21,82.05,900,33.39,79.53
West Bengal,2021,Rape,6395,87778026,7.29,74.89,25.62,6.31,69830,1245,32.2,93.79,662,33.39,79.53
West Bengal,2021,Domestic Violence,3854,87778026,4.39,74.89,25.62,6.31,69830,1245,32.2,93.79,662,33.39,79.53
West Bengal,2021,Kidnapping,725,87778026,0.83,74.89,25.62,6.31,69830,1245,32.2,93.79,662,33.39,79.53
West Bengal,2021,Harassment,5393,87778026,6.14,74.89,25.62,6.31,69830,1245,32.2,93.79,662,33.39,79.53
West Bengal,2021,Dowry Deaths,7522,87778026,8.57,74.89,25.62,6.31,69830,1245,32.2,93.79,662,33.39,79.53
West Bengal,2021,Acid Attack,9651,87778026,10.99,74.89,25.62,6.31,69830,1245,32.2,93.79,662,33.39,79.53
West Bengal,2021,Cyber Crime,6100,87778026,6.95,74.89,25.62,6.31,69830,1245,32.2,93.79,662,33.39,79.53
West Bengal,2021,Stalking,8496,87778026,9.68,74.89,25.62,6.31,69830,1245,32.2,93.79,662,33.39,79.53
West Bengal,2022,Rape,3944,89434215,4.41,72.47,54.32,9.92,155983,216,69.73,71.15,1169,33.39,79.53
West Bengal,2022,Domestic Violence,1560,89434215,1.74,72.47,54.32,9.92,155983,216,69.73,71.15,1169,33.39,79.53
West Bengal,2022,Kidnapping,2827,89434215,3.16,72.47,54.32,9.92,155983,216,69.73,71.15,1169,33.39,79.53
West Bengal,2022,Harassment,3920,89434215,4.38,72.47,54.32,9.92,155983,216,69.73,71.15,1169,33.39,79.53
West Bengal,2022,Dowry Deaths,801,89434215,0.9,72.47,54.32,9.92,155983,216,69.73,71.15,1169,33.39,79.53
West Bengal,2022,Acid Attack,1106,89434215,1.24,72.47,54.32,9.92,155983,216,69.73,71.15,1169,33.39,79.53
West Bengal,2022,Cyber Crime,3670,89434215,4.1,72.47,54.32,9.92,155983,216,69.73,71.15,1169,33.39,79.53
West Bengal,2022,Stalking,1199,89434215,1.34,72.47,54.32,9.92,155983,216,69.73,71.15,1169,33.39,79.53
West Bengal,2023,Rape,1069,91090404,1.17,84.86,37.67,6.47,56102,1384,35.85,57.63,665,33.39,79.53
West Bengal,2023,Domestic Violence,5942,91090404,6.52,84.86,37.67,6.47,56102,1384,35.85,57.63,665,33.39,79.53
West Bengal,2023,Kidnapping,2395,91090404,2.63,84.86,37.67,6.47,56102,1384,35.85,57.63,665,33.39,79.53
West Bengal,2023,Harassment,3233,91090404,3.55,84.86,37.67,6.47,56102,1384,35.85,57.63,665,33.39,79.53
West Bengal,2023,Dowry Deaths,4363,91090404,4.79,84.86,37.67,6.47,56102,1384,35.85,57.63,665,33.39,79.53
West Bengal,2023,Acid Attack,7955,91090404,8.73,84.86,37.67,6.47,56102,1384,35.85,57.63,665,33.39,79.53
West Bengal,2023,Cyber Crime,4514,91090404,4.96,84.86,37.67,6.47,56102,1384,35.85,57.63,665,33.39,79.53
West Bengal,2023,Stalking,2186,91090404,2.4,84.86,37.67,6.47,56102,1384,35.85,57.63,665,33.39,79.53
Rajasthan,2018,Rape,9216,69785345,13.21,66.29,70.92,4.23,259141,1700,34.83,68.89,1020,14.86,76.56
Rajasthan,2018,Domestic Violence,7471,69785345,10.71,66.29,70.92,4.23,259141,1700,34.83,68.89,1020,14.86,76.56
Rajasthan,2018,Kidnapping,6125,69785345,8.78,66.29,70.92,4.23,259141,1700,34.83,68.89,1020,14.86,76.56
Rajasthan,2018,Harassment,3450,69785345,4.94,66.29,70.92,4.23,259141,1700,34.83,68.89,1020,14.86,76.56
Rajasthan,2018,Dowry Deaths,8492,69785345,12.17,66.29,70.92,4.23,259141,1700,34.83,68.89,1020,14.86,76.56
Rajasthan,2018,Acid Attack,5280,69785345,7.57,66.29,70.92,4.23,259141,1700,34.83,68.89,1020,14.86,76.56
Rajasthan,2018,Cyber Crime,2868,69785345,4.11,66.29,70.92,4.23,259141,1700,34.83,68.89,1020,14.86,76.56
Rajasthan,2018,Stalking,7155,69785345,10.25,66.29,70.92,4.23,259141,1700,34.83,68.89,1020,14.86,76.56
Rajasthan,2019,Rape,4646,71181051,6.53,68.89,23.05,10.98,174046,1315,48.94,69.73,953,14.86,76.56
Rajasthan,2019,Domestic Violence,4269,71181051,6.0,68.89,23.05,10.98,174046,1315,48.94,69.73,953,14.86,76.56
Rajasthan,2019,Kidnapping,1074,71181051,1.51,68.89,23.05,10.98,174046,1315,48.94,69.73,953,14.86,76.56
Rajasthan,2019,Harassment,1648,71181051,2.32,68.89,23.05,10.98,174046,1315,48.94,69.73,953,14.86,76.56
Rajasthan,2019,Dowry Deaths,6793,71181051,9.54,68.89,23.05,10.98,174046,1315,48.94,69.73,953,14.86,76.56
Rajasthan,2019,Acid Attack,6957,71181051,9.77,68.89,23.05,10.98,174046,1315,48.94,69.73,953,14.86,76.56
Rajasthan,2019,Cyber Crime,8009,71181051,11.25,68.89,23.05,10.98,174046,1315,48.94,69.73,953,14.86,76.56
Rajasthan,2019,Stalking,5277,71181051,7.41,68.89,23.05,10.98,174046,1315,48.94,69.73,953,14.86,76.56
Rajasthan,2020,Rape,5722,72576758,7.88,83.79,41.61,4.14,163632,2511,58.5,59.71,104,14.86,76.56
Rajasthan,2020,Domestic Violence,5815,72576758,8.01,83.79,41.61,4.14,163632,2511,58.5,59.71,104,14.86,76.56
Rajasthan,2020,Kidnapping,5369,72576758,7.4,83.79,41.61,4.14,163632,2511,58.5,59.71,104,14.86,76.56
Rajasthan,2020,Harassment,1376,72576758,1.9,83.79,41.61,4.14,163632,2511,58.5,59.71,104,14.86,76.56
Rajasthan,2020,Dowry Deaths,9683,72576758,13.34,83.79,41.61,4.14,163632,2511,58.5,59.71,104,14.86,76.56
Rajasthan,2020,Acid Attack,7527,72576758,10.37,83.79,41.61,4.14,163632,2511,58.5,59.71,104,14.86,76.56
Rajasthan,2020,Cyber Crime,4642,72576758,6.4,83.79,41.61,4.14,163632,2511,58.5,59.71,104,14.86,76.56
Rajasthan,2020,Stalking,7466,72576758,10.29,83.79,41.61,4.14,163632,2511,58.5,59.71,104,14.86,76.56
Rajasthan,2021,Rape,9432,73972465,12.75,59.84,27.96,11.73,292793,1893,22.05,67.95,1181,14.86,76.56
Rajasthan,2021,Domestic Violence,8808,73972465,11.91,59.84,27.96,11.73,292793,1893,22.05,67.95,1181,14.86,76.56
Rajasthan,2021,Kidnapping,6449,73972465,8.72,59.84,27.96,11.73,292793,1893,22.05,67.95,1181,14.86,76.56
Rajasthan,2021,Harassment,3338,73972465,4.51,59.84,27.96,11.73,292793,1893,22.05,67.95,1181,14.86,76.56
Rajasthan,2021,Dowry Deaths,1650,73972465,2.23,59.84,27.96,11.73,292793,1893,22.05,67.95,1181,14.86,76.56
Rajasthan,2021,Acid Attack,8060,73972465,10.9,59.84,27.96,11.73,292793,1893,22.05,67.95,1181,14.86,76.56
Rajasthan,2021,Cyber Crime,2431,73972465,3.29,59.84,27.96,11.73,292793,1893,22.05,67.95,1181,14.86,76.56
Rajasthan,2021,Stalking,9704,73972465,13.12,59.84,27.96,11.73,292793,1893,22.05,67.95,1181,14.86,76.56
Rajasthan,2022,Rape,3843,75368172,5.1,57.04,74.91,6.98,227247,1341,55.73,79.71,996,14.86,76.56
Rajasthan,2022,Domestic Violence,4570,75368172,6.06,57.04,74.91,6.98,227247,1341,55.73,79.71,996,14.86,76.56
Rajasthan,2022,Kidnapping,1080,75368172,1.43,57.04,74.91,6.98,227247,1341,55.73,79.71,996,14.86,76.56
Rajasthan,2022,Harassment,7504,75368172,9.96,57.04,74.91,6.98,227247,1341,55.73,79.71,996,14.86,76.56
Rajasthan,2022,Dowry Deaths,8630,75368172,11.45,57.04,74.91,6.98,227247,1341,55.73,79.71,996,14.86,76.56
Rajasthan,2022,Acid Attack,3647,75368172,4.84,57.04,74.91,6.98,227247,1341,55.73,79.71,996,14.86,76.56
Rajasthan,2022,Cyber Crime,4749,75368172,6.3,57.04,74.91,6.98,227247,1341,55.73,79.71,996,14.86,76.56
Rajasthan,2022,Stalking,2179,75368172,2.89,57.04,74.91,6.98,227247,1341,55.73,79.71,996,14.86,76.56
Rajasthan,2023,Rape,7117,76763879,9.27,60.55,27.21,6.08,59435,1292,24.71,64.01,1057,14.86,76.56
Rajasthan,2023,Domestic Violence,2979,76763879,3.88,60.55,27.21,6.08,59435,1292,24.71,64.01,1057,14.86,76.56
Rajasthan,2023,Kidnapping,6984,76763879,9.1,60.55,27.21,6.08,59435,1292,24.71,64.01,1057,14.86,76.56
Rajasthan,2023,Harassment,7921,76763879,10.32,60.55,27.21,6.08,59435,1292,24.71,64.01,1057,14.86,76.56
Rajasthan,2023,Dowry Deaths,4952,76763879,6.45,60.55,27.21,6.08,59435,1292,24.71,64.01,1057,14.86,76.56
Rajasthan,2023,Acid Attack,6381,76763879,8.31,60.55,27.21,6.08,59435,1292,24.71,64.01,1057,14.86,76.56
Rajasthan,2023,Cyber Crime,7165,76763879,9.33,60.55,27.21,6.08,59435,1292,24.71,64.01,1057,14.86,76.56
Rajasthan,2023,Stalking,3349,76763879,4.36,60.55,27.21,6.08,59435,1292,24.71,64.01,1057,14.86,76.56
Tamil Nadu,2018,Rape,6803,51787763,13.14,72.61,71.39,8.93,185683,535,52.12,51.19,995,18.11,86.15
Tamil Nadu,2018,Domestic Violence,1351,51787763,2.61,72.61,71.39,8.93,185683,535,52.12,51.19,995,18.11,86.15
Tamil Nadu,2018,Kidnapping,2187,51787763,4.22,72.61,71.39,8.93,185683,535,52.12,51.19,995,18.11,86.15
Tamil Nadu,2018,Harassment,7333,51787763,14.16,72.61,71.39,8.93,185683,535,52.12,51.19,995,18.11,86.15
Tamil Nadu,2018,Dowry Deaths,2927,51787763,5.65,72.61,71.39,8.93,185683,535,52.12,51.19,995,18.11,86.15
Tamil Nadu,2018,Acid Attack,4500,51787763,8.69,72.61,71.39,8.93,185683,535,52.12,51.19,995,18.11,86.15
Tamil Nadu,2018,Cyber Crime,5552,51787763,10.72,72.61,71.39,8.93,185683,535,52.12,51.19,995,18.11,86.15
Tamil Nadu,2018,Stalking,3238,51787763,6.25,72.61,71.39,8.93,185683,535,52.12,51.19,995,18.11,86.15
Tamil Nadu,2019,Rape,9445,52823518,17.88,83.72,57.56,10.38,292855,1266,29.79,53.12,598,18.11,86.15
Tamil Nadu,2019,Domestic Violence,2582,52823518,4.89,83.72,57.56,10.38,292855,1266,29.79,53.12,598,18.11,86.15
Tamil Nadu,2019,Kidnapping,9467,52823518,17.92,83.72,57.56,10.38,292855,1266,29.79,53.12,598,18.11,86.15
Tamil Nadu,2019,Harassment,7248,52823518,13.72,83.72,57.56,10.38,292855,1266,29.79,53.12,598,18.11,86.15
Tamil Nadu,2019,Dowry Deaths,917,52823518,1.74,83.72,57.56,10.38,292855,1266,29.79,53.12,598,18.11,86.15
Tamil Nadu,2019,Acid Attack,8806,52823518,16.67,83.72,57.56,10.38,292855,1266,29.79,53.12,598,18.11,86.15
Tamil Nadu,2019,Cyber Crime,9308,52823518,17.62,83.72,57.56,10.38,292855,1266,29.79,53.12,598,18.11,86.15
Tamil Nadu,2019,Stalking,4474,52823518,8.47,83.72,57.56,10.38,292855,1266,29.79,53.12,598,18.11,86.15
Tamil Nadu,2020,Rape,3467,53859273,6.44,59.14,61.8,8.66,181484,928,60.17,62.69,556,18.11,86.15
Tamil Nadu,2020,Domestic Violence,3286,53859273,6.1,59.14,61.8,8.66,181484,928,60.17,62.69,556,18.11,86.15
Tamil Nadu,2020,Kidnapping,1622,53859273,3.01,59.14,61.8,8.66,181484,928,60.17,62.69,556,18.11,86.15
Tamil Nadu,2020,Harassment,4579,53859273,8.5,59.14,61.8,8.66,181484,928,60.17,62.69,556,18.11,86.15
Tamil Nadu,2020,Dowry Deaths,2071,53859273,3.85,59.14,61.8,8.66,181484,928,60.17,62.69,556,18.11,86.15
Tamil Nadu,2020,Acid Attack,5573,53859273,10.35,59.14,61.8,8.66,181484,928,60.17,62.69,556,18.11,86.15
